學年度	階段	學號	宿舍	房號						第一志願	870
105	第一志願	411540	十三宿	701							
105	第一志願	411555	十三宿	701							
105	第一志願	412217	十三宿	705							
105	第一志願	412219	十三宿	705							
105	第一志願	412221	十三宿	705							
105	第一志願	412234	十三宿	705							
105	第一志願	412026	十三宿	707							
105	第一志願	412108	十三宿	707							
105	第一志願	412119	十三宿	707							
105	第一志願	412126	十三宿	707							
105	第一志願	410858	十三宿	708							
105	第一志願	410874	十三宿	708							
105	第一志願	410879	十三宿	708							
105	第一志願	412260	十三宿	708							
105	第一志願	417023	十三宿	711							
105	第一志願	417045	十三宿	711							
105	第一志願	417060	十三宿	711							
105	第一志願	417061	十三宿	711							
105	第一志願	310854	十三宿	712							
105	第一志願	410711	十三宿	712							
105	第一志願	410733	十三宿	712							
105	第一志願	410795	十三宿	712							
105	第一志願	411002	十三宿	716							
105	第一志願	411004	十三宿	716							
105	第一志願	411037	十三宿	716							
105	第一志願	411077	十三宿	716							
105	第一志願	410841	十三宿	717							
105	第一志願	411237	十三宿	717							
105	第一志願	411277	十三宿	717							
105	第一志願	411299	十三宿	717							
105	第一志願	411503	十三宿	720							
105	第一志願	411543	十三宿	720							
105	第一志願	411546	十三宿	720							
105	第一志願	411558	十三宿	720							
105	第一志願	413208	十三宿	721							
105	第一志願	413214	十三宿	721							
105	第一志願	413234	十三宿	721							
105	第一志願	413245	十三宿	721							
105	第一志願	312214	十三宿	723							
105	第一志願	312215	十三宿	723							
105	第一志願	312502	十三宿	723							
105	第一志願	312511	十三宿	723							
105	第一志願	410539	十三宿	802							
105	第一志願	410871	十三宿	802							
105	第一志願	410872	十三宿	802							
105	第一志願	412127	十三宿	802							
105	第一志願	410723	十三宿	804							
105	第一志願	410789	十三宿	804							
105	第一志願	410818	十三宿	804							
105	第一志願	410847	十三宿	804							
105	第一志願	410504	十三宿	805							
105	第一志願	410517	十三宿	805							
105	第一志願	410527	十三宿	805							
105	第一志願	410528	十三宿	805							
105	第一志願	410113	十三宿	806							
105	第一志願	410157	十三宿	806							
105	第一志願	410171	十三宿	806							
105	第一志願	410180	十三宿	806							
105	第一志願	412007	十三宿	809							
105	第一志願	412014	十三宿	809							
105	第一志願	412017	十三宿	809							
105	第一志願	412025	十三宿	809							
105	第一志願	410509	十三宿	810							
105	第一志願	410510	十三宿	810							
105	第一志願	410524	十三宿	810							
105	第一志願	410530	十三宿	810							
105	第一志願	416015	十三宿	811							
105	第一志願	416107	十三宿	811							
105	第一志願	416242	十三宿	811							
105	第一志願	416319	十三宿	811							
105	第一志願	416014	十三宿	813							
105	第一志願	416202	十三宿	813							
105	第一志願	416205	十三宿	813							
105	第一志願	416243	十三宿	813							
105	第一志願	210877	十三宿	815							
105	第一志願	210878	十三宿	815							
105	第一志願	210879	十三宿	815							
105	第一志願	216244	十三宿	815							
105	第一志願	416046	十三宿	816							
105	第一志願	416060	十三宿	816							
105	第一志願	416062	十三宿	816							
105	第一志願	416321	十三宿	816							
105	第一志願	413107	十三宿	818							
105	第一志願	416027	十三宿	818							
105	第一志願	416071	十三宿	818							
105	第一志願	416216	十三宿	818							
105	第一志願	410122	十三宿	819							
105	第一志願	410160	十三宿	819							
105	第一志願	410161	十三宿	819							
105	第一志願	410179	十三宿	819							
105	第一志願	211234	十三宿	820							
105	第一志願	211250	十三宿	820							
105	第一志願	211278	十三宿	820							
105	第一志願	311275	十三宿	820							
105	第一志願	410713	十三宿	821							
